n,sigma,m,mean,stdev,repetitions
128,0.5,,0.518359375,0.03947245813439891,20
128,0.25,,0.5671875,0.03336586953759785,20
128,0.125,,0.64765625,0.04732208662783691,20
128,0.0625,,0.771484375,0.028370779387370995,20
128,0.03125,,0.934375,0.019671372362522144,20
128,0.015625,,0.99765625,0.004349815908460954,20
512,0.5,,0.522265625,0.020636685846675454,20
512,0.25,,0.533984375,0.02195333351769299,20
512,0.125,,0.562890625,0.018108323416405094,20
512,0.0625,,0.6361328125,0.020772106482368217,20
512,0.03125,,0.7556640625,0.014809015693177626,20
512,0.015625,,0.92138671875,0.010369512002732081,20
512,0.0078125,,0.99794921875,0.0019989735830526095,20
2048,0.5,,0.5103759765625,0.013887181441999494,20
2048,0.25,,0.5199462890625,0.011265734160128537,20
2048,0.125,,0.5310546875,0.009769774509041625,20
2048,0.0625,,0.5703125,0.011929461423958863,20
2048,0.03125,,0.637744140625,0.009133470131436667,20
2048,0.015625,,0.7600830078125,0.010027346175237704,20
2048,0.0078125,,0.9217529296875,0.006258529564853709,20
2048,0.00390625,,0.9974609375,0.0010311871133761171,20
8192,0.5,,0.50281982421875,0.00546363864178654,20
8192,0.25,,0.509442138671875,0.004956907753274034,20
8192,0.125,,0.51844482421875,0.004790058349819413,20
8192,0.0625,,0.532965087890625,0.005868710392624327,20
8192,0.03125,,0.56920166015625,0.005531805818724443,20
8192,0.015625,,0.638116455078125,0.006030752186168877,20
8192,0.0078125,,0.758306884765625,0.005595492613662359,20
8192,0.00390625,,0.921087646484375,0.0021239795899524066,20
8192,0.001953125,,0.997772216796875,0.0005827179512464015,20
